"tempi","hum","wdird","wdire","wgusti","precipi","rain","conds","weatherTime","shotId"
"86.9","53","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1315,"33419-420-715-3-14-4"
"86.9","53","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1315,"33419-420-715-3-15-1"
"86.9","53","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1315,"33419-420-715-3-15-2"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-15-3"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-15-4"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-16-1"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-16-2"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-16-3"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-16-4"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-17-1"
"85.6","55","150","SSE","-9999.0","-9999.00","0","Scattered Clouds",1335,"33419-420-715-3-17-2"
"84.0","58","140","SE","-9999.0","-9999.00","0","Scattered Clouds",1355,"33419-420-715-3-17-3"
"84.0","58","140","SE","-9999.0","-9999.00","0","Scattered Clouds",1355,"33419-420-715-3-17-4"
"84.0","58","140","SE","-9999.0","-9999.00","0","Scattered Clouds",1355,"33419-420-715-3-17-5"
"84.0","58","140","SE","-9999.0","-9999.00","0","Scattered Clouds",1355,"33419-420-715-3-17-6"
"84.0","58","140","SE","-9999.0","-9999.00","0","Scattered Clouds",1355,"33419-420-715-3-18-1"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"33419-420-715-3-18-2"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"33419-420-715-3-18-3"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"33419-420-715-3-18-4"
"83.3","59","150","SSE","-9999.0","-9999.00","0","Mostly Cloudy",1415,"33419-420-715-3-18-5"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-1-1"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-1-2"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-1-3"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-1-4"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-2-1"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-2-2"
"79.7","69","0","North","-9999.0","-9999.00","0","Clear",915,"33448-420-715-3-2-3"
"80.4","68","0","North","-9999.0","-9999.00","0","Clear",935,"33448-420-715-3-2-4"
"80.4","68","0","North","-9999.0","-9999.00","0","Clear",935,"33448-420-715-3-3-1"
"80.4","68","0","North","-9999.0","-9999.00","0","Clear",935,"33448-420-715-3-3-2"
"80.4","68","0","North","-9999.0","-9999.00","0","Clear",935,"33448-420-715-3-3-3"
"80.4","68","0","North","-9999.0","-9999.00","0","Clear",935,"33448-420-715-3-3-4"
"80.4","68","0","North","-9999.0","-9999.00","0","Clear",935,"33448-420-715-3-4-1"
"81.0","67","110","ESE","-9999.0","-9999.00","0","Clear",955,"33448-420-715-3-4-2"
"81.0","67","110","ESE","-9999.0","-9999.00","0","Clear",955,"33448-420-715-3-4-3"
