"label","id","link","start","end","city","state","country","zipCode","courseName","id.1","lat","lng","year","elevation"
"Valspar Championship",2263,"http://www.espn.com/golf/leaderboard?tournamentId=2263","2015-03-12T07:00Z","2015-03-15T07:00Z","Palm Harbor","FL","United States","34684","Innisbrook Resort (Copperhead)",2263,28.1108728,-82.753524,"2015",12.7199280609035
"Arnold Palmer Invitational presented by MasterCard",2238,"http://www.espn.com/golf/leaderboard?tournamentId=2238","2015-03-19T07:00Z","2015-03-22T07:00Z","Orlando","FL","United States","32819","Bay Hill Club & Lodge",2238,35.04356,-80.7875469,"2015",625.090931948242
"Valero Texas Open",2261,"http://www.espn.com/golf/leaderboard?tournamentId=2261","2015-03-26T07:00Z","2015-03-29T07:00Z","San Antonio","TX","United States","78259","TPC San Antonio - AT&T Oaks",2261,29.6666152,-98.4007203,"2015",1134.47538386719
"Shell Houston Open",2244,"http://www.espn.com/golf/leaderboard?tournamentId=2244","2015-04-02T07:00Z","2015-04-05T07:00Z","Houston","TX","United States","77010","GC of Houston",2244,29.925101,-95.2580727,"2015",58.3568163645172
"Masters Tournament",2241,"http://www.espn.com/golf/leaderboard?tournamentId=2241","2015-04-09T07:00Z","2015-04-12T07:00Z","Augusta","GA","United States","30904","Augusta National GC",2241,33.5021365,-82.0226276,"2015",277.59472791626
"RBC Heritage",2242,"http://www.espn.com/golf/leaderboard?tournamentId=2242","2015-04-16T07:00Z","2015-04-19T07:00Z","Hilton Head","SC","United States","29928","Harbour Town GL",2242,32.1561424,-80.7670562,"2015",39.4813013320541
"Zurich Classic of New Orleans",2239,"http://www.espn.com/golf/leaderboard?tournamentId=2239","2015-04-23T07:00Z","2015-04-26T07:00Z","Avondale","LA","United States","70094","TPC Louisiana",2239,29.9023695,-90.1892396,"2015",2.98536150171518
"World Golf Championships-Cadillac Match Play",2264,"http://www.espn.com/golf/leaderboard?tournamentId=2264","2015-04-29T07:00Z","2015-05-03T07:00Z","San Francisco","CA","United States","94132","TPC Harding Park",2264,37.7251079,-122.4934387,"2015",55.3167228177643
"THE PLAYERS Championship",2240,"http://www.espn.com/golf/leaderboard?tournamentId=2240","2015-05-07T07:00Z","2015-05-10T07:00Z","Ponte Vedra Beach","FL","United States","32082","TPC Sawgrass",2240,30.1990251,-81.394832,"2015",17.4789015037918
"Wells Fargo Championship",2268,"http://www.espn.com/golf/leaderboard?tournamentId=2268","2015-05-14T07:00Z","2015-05-17T07:00Z","Charlotte","NC","United States","28202","Quail Hollow Club",2268,35.1163944,-80.8424694,"2015",624.015257371216
"Crowne Plaza Invitational at  Colonial",2246,"http://www.espn.com/golf/leaderboard?tournamentId=2246","2015-05-21T07:00Z","2015-05-24T07:00Z","Ft. Worth","TX","United States","76109","Colonial CC",2246,32.7170485,-97.3727556,"2015",588.326260227051
"AT&T Byron Nelson",2245,"http://www.espn.com/golf/leaderboard?tournamentId=2245","2015-05-28T07:00Z","2015-05-31T07:00Z","Irving","TX","United States","76109","TPC Four Seasons Resort",2245,32.8738094,-96.9537937,"2015",435.884244354248
"the Memorial Tournament presented by Nationwide",2247,"http://www.espn.com/golf/leaderboard?tournamentId=2247","2015-06-04T07:00Z","2015-06-07T07:00Z","Dublin","OH","United States","43017","Muirfield Village GC",2247,40.1404806,-83.140923,"2015",932.016777967529
"FedEx St. Jude Classic",2250,"http://www.espn.com/golf/leaderboard?tournamentId=2250","2015-06-11T07:00Z","2015-06-14T07:00Z","Memphis","TN","United States","38125","TPC Southwind",2250,35.0571605,-89.7793212,"2015",359.596754552612
"U.S. Open",2249,"http://www.espn.com/golf/leaderboard?tournamentId=2249","2015-06-18T07:00Z","2015-06-21T07:00Z","University Place","WA","United States","98467","Chambers Bay GC",2249,47.2004036,-122.5705597,"2015",234.28775005188
"Travelers Championship",2251,"http://www.espn.com/golf/leaderboard?tournamentId=2251","2015-06-25T07:00Z","2015-06-28T07:00Z","Cromwell","CT","United States","06416","TPC River Highlands",2251,41.6318138,-72.6397284,"2015",166.700335953522
"The Greenbrier Classic",2274,"http://www.espn.com/golf/leaderboard?tournamentId=2274","2015-07-02T07:00Z","2015-07-05T07:00Z","White Sulphur Springs","WV","United States","24986","The Old White TPC",2274,37.7867978,-80.3052594,"2015",1925.35967242188
"John Deere Classic",2258,"http://www.espn.com/golf/leaderboard?tournamentId=2258","2015-07-09T07:00Z","2015-07-12T07:00Z","Silvis","IL","United States","61282","TPC Deere Run",2258,41.477362,-90.392236,"2015",693.31203887085
"Barbasol Championship",2277,"http://www.espn.com/golf/leaderboard?tournamentId=2277","2015-07-16T07:00Z","2015-07-19T07:00Z","Auburn","AL","United States","71403","RTJ Trail (Grand National)",2277,32.6789455,-85.4224935,"2015",754.184346541138
"Quicken Loans National",2272,"http://www.espn.com/golf/leaderboard?tournamentId=2272","2015-07-30T07:00Z","2015-08-02T07:00Z","Gainesville              ","VA","United States","20155","Robert Trent Jones GC",2272,38.775753,-77.6392247,"2015",347.214807522583
"World Golf Championships-Bridgestone Invitational",2256,"http://www.espn.com/golf/leaderboard?tournamentId=2256","2015-08-06T07:00Z","2015-08-09T07:00Z","Akron","OH","United States","44319","Firestone CC (South)",2256,41.0033019,-81.5085554,"2015",1056.26818014526
"Barracuda Championship",2265,"http://www.espn.com/golf/leaderboard?tournamentId=2265","2015-08-06T07:00Z","2015-08-09T07:00Z","Reno","NV","United States","89501","Montreux G&CC",2265,39.3647408,-119.8297751,"2015",5681.8153417334
"PGA Championship",2255,"http://www.espn.com/golf/leaderboard?tournamentId=2255","2015-08-13T07:00Z","2015-08-16T07:00Z","Kohler","WI","United States","06489","Whistling Straits",2255,41.6289597,-72.9085494,"2015",213.098933313293
"Wyndham Championship",2243,"http://www.espn.com/golf/leaderboard?tournamentId=2243","2015-08-20T07:00Z","2015-08-23T07:00Z","Greensboro","NC","United States","27407","Sedgefield CC",2243,36.0143917,-79.8868428,"2015",835.570364629517
"The Barclays",2248,"http://www.espn.com/golf/leaderboard?tournamentId=2248","2015-08-27T07:00Z","2015-08-30T07:00Z","Edison","NJ","United States","08820","Plainfield CC",2248,40.5943282,-74.3910737,"2015",175.520409421082
"Deutsche Bank Championship",2269,"http://www.espn.com/golf/leaderboard?tournamentId=2269","2015-09-04T07:00Z","2015-09-07T07:00Z","Norton","MA","United States","02766","TPC Boston",2269,41.9825079,-71.2233312,"2015",151.814806031647
"BMW Championship",2252,"http://www.espn.com/golf/leaderboard?tournamentId=2252","2015-09-17T07:00Z","2015-09-20T07:00Z","Lake Forest","IL","United States","60045","Conway Farms GC",2252,42.2316265,-87.8922362,"2015",705.129090292969
"TOUR Championship by Coca-Cola",2262,"http://www.espn.com/golf/leaderboard?tournamentId=2262","2015-09-24T07:00Z","2015-09-27T07:00Z","Atlanta","GA","United States","30317","East Lake GC",2262,33.743698,-84.3027433,"2015",979.936485910644
