"course","link","hole","hole_lat","hole_lon","hole_z","tee_lat","tee_lon","tee_z","midpt1_lat","midpt1_lon","midpt1_z","midpt2_lat","midpt2_lon","midpt2_z"
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","3","32.398019639802","-90.087276608728","286.331060766296","32.394290039429","-90.089821808982","279.070445102539","32.3959982396","-90.087993908799","275.348136481628","32.397670439767","-90.087175808718","282.805444350586"
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","4","32.398250939825","-90.088692308869","280.446038997803","32.398458839846","-90.086970608697","284.870937782593",NA,NA,NA,NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","5","32.397181739718","-90.093539709354","283.03179808075","32.397925139793","-90.087821108782","281.029607599487","32.397139439714","-90.090384309038","275.983518886414","32.397288839729","-90.092715309272","273.078466628418"
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","6","32.39690093969","-90.088960508896","278.841388043518","32.396747039675","-90.093483009348","282.935829906311","32.396441039644","-90.090780309078","275.874484622498",NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","7","32.395741739574","-90.089523908952","277.71079584137","32.396980139698","-90.088105508811","275.020833443298",NA,NA,NA,NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","8","32.396160239616","-90.093083409308","281.520136632996","32.395080239508","-90.089521208952","274.349456715393","32.396043239604","-90.091727109173","269.857300109863",NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","9","32.397620939762","-90.097452909745","300.286495376282","32.39649593965","-90.093665709367","283.925123114014","32.397225839723","-90.09620010962","282.00408256012",NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","10","32.397711839771","-90.095349609535","285.108380167236","32.398083539808","-90.097425909743","304.238812227478",NA,NA,NA,"","",NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","11","32.398013339801","-90.089532008953","275.730357145081","32.397566939757","-90.094837509484","286.454763092346","32.397830639783","-90.092128509213","274.901436418762","32.398025039803","-90.089949608995","274.561517845764"
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","12","32.398357139836","-90.093284109328","282.635359909973","32.398364339836","-90.089349308935","277.036090014038","32.398512839851","-90.092070909207","275.872106694336",NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","13","32.399014139901","-90.093166209317","283.056052947998","32.398075439808","-90.094137309414","285.370853374634",NA,NA,NA,NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","14","32.398934939894","-90.08710200871","284.353951169434","32.399086139909","-90.092732409273","281.357886839905","32.39890343989","-90.090013509001","279.368512139893","32.398944839894","-90.087676208768","279.65789348175"
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","15","32.396439239644","-90.086152508615","281.717104177246","32.399054639905","-90.086643008664","282.095920648804","32.39729783973","-90.086408108641","278.687974130859",NA,NA,NA
"CC of Jackson","http://www.provisualizer.com/courses/ccjackson.php","16","32.393979539398","-90.08919720892","280.443886347046","32.396144939615","-90.085629608563","282.033944331665","32.395053239505","-90.088030808803","276.31097210968",NA,NA,NA
